Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
ASAT,timesincecat,15290,5.9981369E-01,8.6132505E-01
TROP_T,meandonorage,4360,6.1876959E-01,8.6132505E-01
TROP_T,numdoncat,4361,5.9950170E-01,8.6132505E-01
SR,numdoncat,91,6.1559217E-01,8.6132505E-01
PCO2,numdoncat,16469,5.9138569E-01,8.6132505E-01
LPK,donorparity,56333,6.1292425E-01,8.6132505E-01
GLUKOS,idbloodgroupcat,44558,6.0408492E-01,8.6132505E-01
CA_F,foreigndonor,20372,6.1689686E-01,8.6132505E-01
MYELO,meandonorage,362,6.0553991E-01,8.6132505E-01
GT,numdoncat,7743,5.8804698E-01,8.6132505E-01
METHB,meandonorage,15595,5.9003553E-01,8.6132505E-01
CRP,numdoncat,47689,5.8962693E-01,8.6132505E-01
LD,donorparity,6698,6.0195278E-01,8.6132505E-01
CL,meandonationtime,21024,6.2126520E-01,8.6193550E-01
TRANSF,numdoncat,58,6.2511677E-01,8.6533017E-01
LD,meanweekday,6695,6.2672620E-01,8.6561287E-01
NEUTRO,foreigndonor,10915,6.3418929E-01,8.7396108E-01
TROP_T,meanweekday,4359,6.3631768E-01,8.7493681E-01
METHB,numdoncat,15603,6.3868667E-01,8.7623829E-01
OSMO,idbloodgroupcat,6499,6.4334035E-01,8.8066145E-01
GLUKOS,numdoncat,44613,6.4486635E-01,8.8079306E-01
TROP_I,meanweekday,585,6.5086666E-01,8.8137296E-01
FERRITIN,meanstoragetime,2566,6.4739293E-01,8.8137296E-01
TRI,meandonorhb,2540,6.4969698E-01,8.8137296E-01
NA,meandonorhb,45871,6.5101412E-01,8.8137296E-01
META,meanweekday,383,6.5534717E-01,8.8232274E-01
TROP_I,numdoncat,585,6.5328216E-01,8.8232274E-01
NA,meandonorage,46334,6.5601269E-01,8.8232274E-01
APTT,numdoncat,22125,6.6938463E-01,8.8389708E-01
COHB,meanweekday,14200,6.7776039E-01,8.8389708E-01
HBA1C,donorparity,187,6.6356240E-01,8.8389708E-01
RET,meanstoragetime,504,6.7074640E-01,8.8389708E-01
SR,meandonationtime,91,6.7028623E-01,8.8389708E-01
FIB,meanstoragetime,13648,6.7669628E-01,8.8389708E-01
CRP,meanstoragetime,47591,6.7870668E-01,8.8389708E-01
EOSINO,meandonorsex,1923,6.6522864E-01,8.8389708E-01
FE,donorparity,1411,6.7228020E-01,8.8389708E-01
SR,idbloodgroupcat,91,6.7803101E-01,8.8389708E-01
GLUKOS,foreigndonor,44613,6.6335601E-01,8.8389708E-01
TROP_T,timesincecat,4361,6.6899155E-01,8.8389708E-01
METHB,idbloodgroupcat,15588,6.6275461E-01,8.8389708E-01
EOSINO,donorparity,1923,6.6886752E-01,8.8389708E-01
EGFR,idbloodgroupcat,7817,6.7853505E-01,8.8389708E-01
OSMO,meanweekday,6501,6.8603403E-01,8.8723678E-01
MCV,meanweekday,36835,6.8487446E-01,8.8723678E-01
BILI,meandonorage,22360,6.8718662E-01,8.8723678E-01
FIB,donorparity,13667,6.8892930E-01,8.8723678E-01
FIB,meandonorsex,13667,6.8991301E-01,8.8723678E-01
ALP,meandonationtime,6649,6.8898437E-01,8.8723678E-01
TRI,meanstoragetime,2553,6.9541088E-01,8.9223773E-01
STDBIK,meanstoragetime,20279,7.0516029E-01,8.9223773E-01
INR,meanstoragetime,27887,7.0331221E-01,8.9223773E-01
BASOF,meanstoragetime,1936,6.9855196E-01,8.9223773E-01
FE,meandonorsex,1411,7.0433459E-01,8.9223773E-01
LAKTAT,meandonorhb,18672,7.0538924E-01,8.9223773E-01
NTPROBNP,numdoncat,826,7.0251667E-01,8.9223773E-01
FE,idbloodgroupcat,1410,7.0041369E-01,8.9223773E-01
CA,idbloodgroupcat,12725,7.4104014E-01,8.9599372E-01
FIB,meanweekday,13671,7.2453876E-01,8.9599372E-01
FE,meanweekday,1412,7.2924601E-01,8.9599372E-01
CL,meanweekday,21071,7.4644126E-01,8.9599372E-01
TROP_T,donorparity,4360,7.5591865E-01,8.9599372E-01
BE,meanweekday,20179,7.2144896E-01,8.9599372E-01
TROP_T,foreigndonor,4361,7.3513801E-01,8.9599372E-01
TRANSF,meanstoragetime,58,7.3523175E-01,8.9599372E-01
TPK,meandonationtime,53947,7.3509809E-01,8.9599372E-01
PO2,meandonationtime,16523,7.5184240E-01,8.9599372E-01
FE,meanstoragetime,1408,7.5781287E-01,8.9599372E-01
MCHC,meandonationtime,23812,7.2341032E-01,8.9599372E-01
EOSINO,meanstoragetime,1919,7.3296761E-01,8.9599372E-01
OSMO,foreigndonor,6503,7.3756697E-01,8.9599372E-01
RET,donorparity,504,7.5694621E-01,8.9599372E-01
RET,meandonorsex,504,7.3514116E-01,8.9599372E-01
GLUKOS,meandonationtime,44486,7.5666533E-01,8.9599372E-01
FERRITIN,meandonationtime,2561,7.4384218E-01,8.9599372E-01
TROP_I,idbloodgroupcat,585,7.5734756E-01,8.9599372E-01
TRANSF,meandonorhb,57,7.4045377E-01,8.9599372E-01
K,meandonorhb,46333,7.3337298E-01,8.9599372E-01
TRANSF,timesincecat,58,7.4345667E-01,8.9599372E-01
RET,timesincecat,504,7.3432560E-01,8.9599372E-01
MYELO,timesincecat,362,7.4202349E-01,8.9599372E-01
K,timesincecat,46831,7.4980671E-01,8.9599372E-01
EGFR,foreigndonor,7823,7.3539790E-01,8.9599372E-01
BE,meandonorhb,19966,7.4115070E-01,8.9599372E-01
CO2,timesincecat,1079,7.4644011E-01,8.9599372E-01
TRI,meandonorage,2557,7.3183365E-01,8.9599372E-01
HAPTO,idbloodgroupcat,376,7.4778929E-01,8.9599372E-01
HBA1C,numdoncat,187,7.2917292E-01,8.9599372E-01
HAPTO,numdoncat,377,7.1577712E-01,8.9599372E-01
BILI_K,foreigndonor,4829,7.3730760E-01,8.9599372E-01
COHB,numdoncat,14202,7.4454126E-01,8.9599372E-01
METHB,donorparity,15596,7.6023390E-01,8.9713426E-01
ALP,idbloodgroupcat,6668,7.6341252E-01,8.9916274E-01
ALAT,meandonorage,16884,7.6705317E-01,9.0172662E-01
MCHC,meanweekday,23939,7.7272781E-01,9.0666729E-01
BILI,meanweekday,22365,7.7604832E-01,9.0712252E-01
FIB,timesincecat,13676,7.7606099E-01,9.0712252E-01
HBA1C,timesincecat,187,7.7777661E-01,9.0740605E-01
FIB,meandonorage,13667,7.8423155E-01,9.0889233E-01
NTPROBNP,meanweekday,826,7.8819414E-01,9.0889233E-01
CA_F,meandonorage,20361,7.8565912E-01,9.0889233E-01
ALAT,meanweekday,16887,7.8903161E-01,9.0889233E-01
TRANSF,donorparity,58,7.8257520E-01,9.0889233E-01
LYMF,meanstoragetime,1923,7.8992247E-01,9.0889233E-01
GLUKOS,meandonorhb,44137,7.9085436E-01,9.0889233E-01
NTPROBNP,timesincecat,826,7.8957328E-01,9.0889233E-01
NA,foreigndonor,46357,7.9363368E-01,9.1038798E-01
CL,timesincecat,21078,7.9720684E-01,9.1211904E-01
ALB,meandonorhb,22898,7.9810416E-01,9.1211904E-01
EOSINO,meandonorhb,1902,8.0202227E-01,9.1388863E-01
FE,timesincecat,1412,8.0261973E-01,9.1388863E-01
ALB,meandonorage,23087,8.0696359E-01,9.1713943E-01
BILI_K,meandonorsex,4829,8.0894807E-01,9.1770168E-01
NA,meanweekday,46342,8.1445093E-01,9.1816229E-01
METHB,meanweekday,15599,8.1105752E-01,9.1816229E-01
GT,donorparity,7740,8.1430523E-01,9.1816229E-01
MYELO,idbloodgroupcat,362,8.1531619E-01,9.1816229E-01
MONO,meandonationtime,1931,8.2287121E-01,9.1823182E-01
FERRITIN,meandonorsex,2570,8.2129564E-01,9.1823182E-01
CA_F,meandonorsex,20362,8.1849473E-01,9.1823182E-01
HBA1C,foreigndonor,187,8.2138754E-01,9.1823182E-01
EOSINO,foreigndonor,1923,8.2432175E-01,9.1823182E-01
INR,timesincecat,27937,8.2384292E-01,9.1823182E-01
NA,timesincecat,46357,8.2844506E-01,9.1961085E-01
FERRITIN,idbloodgroupcat,2568,8.2854549E-01,9.1961085E-01
PH,timesincecat,20421,8.3090957E-01,9.2057607E-01
LAKTAT,timesincecat,18887,8.3287114E-01,9.2109268E-01
COHB,meandonationtime,14161,8.3743435E-01,9.2447950E-01
OSMO,timesincecat,6503,8.3912774E-01,9.2469175E-01
ALP,numdoncat,6681,8.4873268E-01,9.2534395E-01
CA,meanweekday,12739,8.4132441E-01,9.2534395E-01
METHB,meanstoragetime,15589,8.4605392E-01,9.2534395E-01
TROP_I,meandonorhb,585,8.4452544E-01,9.2534395E-01
NEUTRO,meandonorhb,10790,8.4798007E-01,9.2534395E-01
MONO,timesincecat,1934,8.4345590E-01,9.2534395E-01
CA_F,meanstoragetime,20343,8.5180832E-01,9.2705641E-01
CA,meanstoragetime,12722,8.5442114E-01,9.2826000E-01
BILI,foreigndonor,22370,8.6027490E-01,9.3297419E-01
NA,donorparity,46335,8.6398178E-01,9.3517131E-01
FIB,foreigndonor,13676,8.6685523E-01,9.3517131E-01
STDBIK,numdoncat,20307,8.6580885E-01,9.3517131E-01
FERRITIN,meandonorage,2570,8.6859285E-01,9.3540769E-01
SR,foreigndonor,91,8.7301910E-01,9.3853362E-01
BASOF,meandonorhb,1919,8.8247681E-01,9.4704829E-01
SR,timesincecat,91,8.8408469E-01,9.4712377E-01
TPK,foreigndonor,54143,8.9224554E-01,9.5059193E-01
PCO2,meandonationtime,16428,8.9328240E-01,9.5059193E-01
NEUTRO,meandonorsex,10910,8.9332573E-01,9.5059193E-01
ALB,meandonorsex,23087,8.9349469E-01,9.5059193E-01
EOSINO,meandonorage,1923,8.9552800E-01,9.5111249E-01
NEUTRO,timesincecat,10915,8.9922845E-01,9.5339884E-01
NA,meanstoragetime,46274,9.0840946E-01,9.6020386E-01
CRP,meandonorsex,47663,9.0896447E-01,9.6020386E-01
HBA1C,idbloodgroupcat,187,9.1032314E-01,9.6020386E-01
TRANSF,meanweekday,58,9.1758603E-01,9.6621025E-01
TROP_T,meandonorhb,4324,9.2153555E-01,9.6871314E-01
NTPROBNP,donorparity,826,9.2349259E-01,9.6911658E-01
ALAT,meanstoragetime,16856,9.3215311E-01,9.7052659E-01
NTPROBNP,meandonorsex,826,9.3179088E-01,9.7052659E-01
META,meandonorsex,383,9.3744046E-01,9.7052659E-01
KREA,meandonorhb,49867,9.3349032E-01,9.7052659E-01
NA,idbloodgroupcat,46298,9.3653033E-01,9.7052659E-01
OSMO,numdoncat,6503,9.3455989E-01,9.7052659E-01
GT,idbloodgroupcat,7728,9.2886862E-01,9.7052659E-01
LYMF,meandonorage,1927,9.3523445E-01,9.7052659E-01
MONO,meanstoragetime,1930,9.4349096E-01,9.7515173E-01
CRP,donorparity,47663,9.4878468E-01,9.7730874E-01
LD,meandonorsex,6698,9.4820468E-01,9.7730874E-01
META,timesincecat,383,9.5033756E-01,9.7730874E-01
HBA1C,meandonorsex,187,9.5646885E-01,9.8197469E-01
ALB,timesincecat,23099,9.5979772E-01,9.8375274E-01
GT,meanweekday,7740,9.6647927E-01,9.8654408E-01
BILI_K,donorparity,4829,9.6732568E-01,9.8654408E-01
FE,numdoncat,1412,9.6472134E-01,9.8654408E-01
TROP_I,meandonorsex,585,9.7709071E-01,9.8798658E-01
CA_F,donorparity,20362,9.7229760E-01,9.8798658E-01
FE,meandonationtime,1406,9.7836333E-01,9.8798658E-01
TROP_I,timesincecat,585,9.7767591E-01,9.8798658E-01
FIB,idbloodgroupcat,13652,9.7465230E-01,9.8798658E-01
EOSINO,idbloodgroupcat,1921,9.7742459E-01,9.8798658E-01
APTT,foreigndonor,22125,9.8223482E-01,9.9027275E-01
TROP_I,donorparity,585,9.8751706E-01,9.9260056E-01
LPK,timesincecat,56365,9.8776647E-01,9.9260056E-01
LAKTAT,meanweekday,18882,9.9196301E-01,9.9519416E-01
TRI,meanweekday,2558,9.9508835E-01,9.9670638E-01
ERYTRO,meandonorage,36599,9.9823507E-01,9.9823507E-01
