Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
PH,idbloodgroupcat,20397,3.8505903E-02,2.4203711E-01
K,idbloodgroupcat,46771,4.2542114E-02,2.6205942E-01
PCO2,meanstoragetime,16446,4.2483797E-02,2.6205942E-01
INR,meanweekday,27928,4.3118334E-02,2.6238969E-01
PCO2,meandonorage,16463,4.3447644E-02,2.6238969E-01
INR,meandonationtime,27816,4.4186269E-02,2.6425963E-01
TROP_I,meanstoragetime,584,4.5288061E-02,2.6824467E-01
K,numdoncat,46831,4.5777453E-02,2.6856106E-01
NEUTRO,meanweekday,10910,4.6549393E-02,2.7051345E-01
LAKTAT,foreigndonor,18887,4.9066980E-02,2.7986352E-01
MCH,donorparity,36913,4.8709453E-02,2.7986352E-01
APTT,meandonorhb,21947,4.9775752E-02,2.8130150E-01
STDBIK,meandonorsex,20298,5.1324718E-02,2.8482907E-01
LPK,numdoncat,56365,5.1108458E-02,2.8482907E-01
BILI_K,meanweekday,4827,5.3086908E-02,2.8939412E-01
PCO2,meandonorsex,16463,5.2973678E-02,2.8939412E-01
MCH,numdoncat,36933,5.5196498E-02,2.9825476E-01
GLUKOS,meandonorage,44589,5.8188715E-02,3.1168912E-01
COHB,meandonorhb,14028,5.9641261E-02,3.1671566E-01
METHB,timesincecat,15603,6.0925386E-02,3.2076956E-01
META,idbloodgroupcat,383,6.2199984E-02,3.2470500E-01
MCH,timesincecat,36933,6.3628742E-02,3.2744197E-01
NA,meandonationtime,46210,6.5185826E-02,3.2744197E-01
LPK,foreigndonor,56365,6.4237856E-02,3.2744197E-01
HB,meanweekday,91439,6.5382083E-02,3.2744197E-01
CO2,idbloodgroupcat,1075,6.4660524E-02,3.2744197E-01
INR,meandonorsex,27916,6.6893957E-02,3.3231192E-01
EGFR,meanweekday,7821,6.9976099E-02,3.4484222E-01
OSMO,donorparity,6503,7.0814289E-02,3.4620319E-01
K,meandonationtime,46688,7.6081540E-02,3.6902542E-01
MCHC,meanstoragetime,23899,8.0295149E-02,3.8293298E-01
BE,meandonationtime,20137,8.0052817E-02,3.8293298E-01
TRI,meandonorsex,2557,8.0813778E-02,3.8293298E-01
CO2,meandonorhb,1073,8.2022819E-02,3.8569509E-01
ALAT,meandonorhb,16754,8.8783761E-02,4.1432422E-01
CA,meandonorhb,12621,9.1143984E-02,4.2214056E-01
EGFR,meanstoragetime,7806,9.3751141E-02,4.3097540E-01
STDBIK,donorparity,20298,9.8487227E-02,4.4697027E-01
OSMO,meanstoragetime,6500,9.8681749E-02,4.4697027E-01
TRI,donorparity,2557,9.9579908E-02,4.4774616E-01
EGFR,meandonorhb,7560,1.0084165E-01,4.5013373E-01
GT,meanstoragetime,7727,1.0613658E-01,4.6721551E-01
PCO2,meandonorhb,16298,1.0618534E-01,4.6721551E-01
TRI,numdoncat,2558,1.0708512E-01,4.6783288E-01
MONO,meandonorsex,1934,1.1352091E-01,4.9245689E-01
SR,meandonorsex,91,1.1689292E-01,5.0353871E-01
CO2,meanstoragetime,1077,1.1916171E-01,5.0394918E-01
EVF,meandonorage,52825,1.2395722E-01,5.0394918E-01
BILI,meandonationtime,22286,1.2094579E-01,5.0394918E-01
LPK,meandonorhb,55779,1.2270529E-01,5.0394918E-01
CA_F,timesincecat,20372,1.2290587E-01,5.0394918E-01
ALAT,donorparity,16884,1.2059050E-01,5.0394918E-01
BASOF,idbloodgroupcat,1938,1.2123454E-01,5.0394918E-01
SR,donorparity,91,1.1918402E-01,5.0394918E-01
BILI_K,meandonorhb,4793,1.2435110E-01,5.0394918E-01
ALAT,meandonationtime,16815,1.4117904E-01,5.1996062E-01
GLUKOS,meanstoragetime,44523,1.3498600E-01,5.1996062E-01
HBA1C,meandonationtime,187,1.3292062E-01,5.1996062E-01
MYELO,meanweekday,362,1.3882922E-01,5.1996062E-01
ALAT,meandonorsex,16884,1.3323968E-01,5.1996062E-01
LD,foreigndonor,6699,1.4180744E-01,5.1996062E-01
OSMO,meandonorage,6503,1.3365526E-01,5.1996062E-01
APTT,meandonorsex,22109,1.3524818E-01,5.1996062E-01
METHB,meandonorhb,15401,1.3667138E-01,5.1996062E-01
FIB,meandonationtime,13619,1.3756238E-01,5.1996062E-01
LD,meandonorhb,6644,1.4065592E-01,5.1996062E-01
ASAT,meandonorhb,15158,1.3787363E-01,5.1996062E-01
APTT,timesincecat,22125,1.3377101E-01,5.1996062E-01
MCH,meanweekday,36926,1.3493873E-01,5.1996062E-01
BE,foreigndonor,20184,1.3439565E-01,5.1996062E-01
LAKTAT,donorparity,18877,1.4162743E-01,5.1996062E-01
FIB,numdoncat,13676,1.4309771E-01,5.2158693E-01
K,meandonorsex,46808,1.4680658E-01,5.3195796E-01
NEUTRO,idbloodgroupcat,10902,1.4790993E-01,5.3282174E-01
NEUTRO,meanstoragetime,10893,1.5025813E-01,5.3724678E-01
TRI,timesincecat,2558,1.5088262E-01,5.3724678E-01
CL,meandonorage,21066,1.5715782E-01,5.5022657E-01
EVF,meandonationtime,52665,1.5720759E-01,5.5022657E-01
FERRITIN,meanweekday,2571,1.5601670E-01,5.5022657E-01
CL,numdoncat,21078,1.5913180E-01,5.5381462E-01
COHB,donorparity,14196,1.6109295E-01,5.5749020E-01
ALB,foreigndonor,23099,1.6432781E-01,5.6332633E-01
TROP_T,idbloodgroupcat,4358,1.6460834E-01,5.6332633E-01
NEUTRO,meandonationtime,10883,1.6672714E-01,5.6430726E-01
STDBIK,meandonationtime,20261,1.6620101E-01,5.6430726E-01
LYMF,meandonationtime,1924,1.6857910E-01,5.6745751E-01
KREA,numdoncat,50361,1.7563326E-01,5.8477551E-01
ASAT,meandonorage,15283,1.7574411E-01,5.8477551E-01
LAKTAT,meandonorage,18876,1.7657183E-01,5.8477551E-01
ASAT,foreigndonor,15290,1.8351002E-01,5.8698119E-01
BASOF,meanweekday,1940,1.8131142E-01,5.8698119E-01
CRP,foreigndonor,47689,1.7823661E-01,5.8698119E-01
ALP,donorparity,6679,1.8390807E-01,5.8698119E-01
MYELO,meandonorhb,358,1.8367276E-01,5.8698119E-01
META,meandonorhb,379,1.8058381E-01,5.8698119E-01
CA_F,numdoncat,20372,1.8314159E-01,5.8698119E-01
INR,donorparity,27916,1.8639691E-01,5.8791068E-01
RET,meandonationtime,503,1.8586826E-01,5.8791068E-01
EGFR,meandonationtime,7819,1.8706249E-01,5.8791068E-01
COHB,meandonorage,14195,1.8954973E-01,5.9270373E-01
OSMO,meandonationtime,6488,1.9109343E-01,5.9451290E-01
RET,meandonorage,504,2.0740183E-01,6.0550117E-01
INR,idbloodgroupcat,27895,2.0269427E-01,6.0550117E-01
FERRITIN,donorparity,2570,2.0740381E-01,6.0550117E-01
KREA,meandonorsex,50338,2.0652219E-01,6.0550117E-01
ERYTRO,meanweekday,36612,2.0622251E-01,6.0550117E-01
PH,meanstoragetime,20393,2.0003373E-01,6.0550117E-01
EOSINO,timesincecat,1923,2.0544946E-01,6.0550117E-01
RET,meanweekday,504,2.0358937E-01,6.0550117E-01
BILI,timesincecat,22370,2.0517000E-01,6.0550117E-01
BASOF,meandonationtime,1937,2.0397059E-01,6.0550117E-01
NTPROBNP,meandonorhb,821,1.9894460E-01,6.0550117E-01
ERYTRO,foreigndonor,36619,2.0416664E-01,6.0550117E-01
TPK,donorparity,54113,2.0409960E-01,6.0550117E-01
LYMF,donorparity,1927,2.0848313E-01,6.0578116E-01
BILI_K,meanstoragetime,4821,2.1174726E-01,6.1159365E-01
LD,numdoncat,6699,2.1246922E-01,6.1159365E-01
HAPTO,meandonationtime,376,2.1881941E-01,6.2694305E-01
ASAT,meanweekday,15286,2.2195483E-01,6.2799325E-01
MYELO,meandonationtime,361,2.2224436E-01,6.2799325E-01
EGFR,meandonorsex,7819,2.2117456E-01,6.2799325E-01
METHB,foreigndonor,15603,2.2526913E-01,6.3363372E-01
LPK,meanweekday,56352,2.2966066E-01,6.3496979E-01
ASAT,meandonorsex,15283,2.2891738E-01,6.3496979E-01
NEUTRO,numdoncat,10915,2.2986731E-01,6.3496979E-01
PO2,meanstoragetime,16543,2.2891626E-01,6.3496979E-01
LAKTAT,meandonorsex,18877,2.3207741E-01,6.3537638E-01
MONO,donorparity,1934,2.3161273E-01,6.3537638E-01
MCV,meandonationtime,36705,2.3637862E-01,6.4428864E-01
ALAT,idbloodgroupcat,16863,2.3890060E-01,6.4829415E-01
ASAT,donorparity,15283,2.4037864E-01,6.4944404E-01
ALP,meanstoragetime,6670,2.4296187E-01,6.5355683E-01
INR,meandonorhb,27713,2.4640075E-01,6.5992548E-01
LYMF,timesincecat,1927,2.4996499E-01,6.6657332E-01
KREA,timesincecat,50361,2.5435901E-01,6.6674531E-01
TRANSF,idbloodgroupcat,58,2.5408711E-01,6.6674531E-01
FIB,meandonorhb,13559,2.5160579E-01,6.6674531E-01
GLUKOS,meanweekday,44597,2.5420014E-01,6.6674531E-01
CO2,meandonorage,1078,2.6185790E-01,6.6951333E-01
EOSINO,meandonationtime,1920,2.6615071E-01,6.6951333E-01
ALP,meandonorage,6679,2.7230803E-01,6.6951333E-01
ALP,meanweekday,6678,2.6677442E-01,6.6951333E-01
TRI,foreigndonor,2558,2.6387772E-01,6.6951333E-01
TRANSF,foreigndonor,58,2.7096686E-01,6.6951333E-01
STDBIK,foreigndonor,20307,2.6241036E-01,6.6951333E-01
GLUKOS,timesincecat,44613,2.7120146E-01,6.6951333E-01
META,meandonationtime,382,2.6903704E-01,6.6951333E-01
BE,meanstoragetime,20156,2.6305570E-01,6.6951333E-01
GT,meandonationtime,7712,2.6837318E-01,6.6951333E-01
INR,foreigndonor,27937,2.7389182E-01,6.6951333E-01
FE,foreigndonor,1412,2.7069336E-01,6.6951333E-01
MCV,idbloodgroupcat,36791,2.6056373E-01,6.6951333E-01
MONO,meandonorage,1934,2.6838531E-01,6.6951333E-01
HAPTO,timesincecat,377,2.7185650E-01,6.6951333E-01
NA,numdoncat,46357,2.7368329E-01,6.6951333E-01
PO2,timesincecat,16565,2.7687231E-01,6.7111287E-01
BILI_K,timesincecat,4829,2.7781458E-01,6.7111287E-01
EGFR,donorparity,7819,2.7693538E-01,6.7111287E-01
MONO,meanweekday,1934,2.8448178E-01,6.7433867E-01
ALP,foreigndonor,6681,2.8462347E-01,6.7433867E-01
TROP_I,meandonationtime,583,2.8231588E-01,6.7433867E-01
INR,numdoncat,27937,2.8262344E-01,6.7433867E-01
BILI,numdoncat,22370,2.8236552E-01,6.7433867E-01
ALB,idbloodgroupcat,23060,2.8787856E-01,6.7517709E-01
PH,meandonationtime,20374,2.8794819E-01,6.7517709E-01
CO2,meandonorsex,1078,2.8826554E-01,6.7517709E-01
PH,meandonorage,20410,2.9177739E-01,6.7824480E-01
ALP,timesincecat,6681,2.9070925E-01,6.7824480E-01
BASOF,meandonorage,1940,2.9778166E-01,6.8662402E-01
ALAT,foreigndonor,16891,2.9984069E-01,6.8662402E-01
LYMF,idbloodgroupcat,1925,2.9924419E-01,6.8662402E-01
EGFR,timesincecat,7823,2.9671022E-01,6.8662402E-01
HBA1C,meandonorage,187,3.0518253E-01,6.9051328E-01
BASOF,foreigndonor,1940,3.0771181E-01,6.9051328E-01
EOSINO,meanweekday,1923,3.1826047E-01,6.9051328E-01
BE,meandonorage,20173,3.1527360E-01,6.9051328E-01
APTT,meanweekday,22119,3.1288667E-01,6.9051328E-01
STDBIK,meanweekday,20302,3.1378029E-01,6.9051328E-01
ASAT,meanstoragetime,15259,3.0420325E-01,6.9051328E-01
CRP,meandonationtime,47505,3.0436714E-01,6.9051328E-01
KREA,foreigndonor,50361,3.0845486E-01,6.9051328E-01
APTT,meandonationtime,22034,3.1741485E-01,6.9051328E-01
