predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
timesincecat,HAPTO,predictorvalue,3,369,3.92,1.31,0.2701375942,2.7185650E-01,0,0.6668670343
meandonorage,ALP,predspline,2,6672,2.60,1.30,0.2722389687,2.7230803E-01,0,0.6668670343
numdoncat,NA,predictorv,4,46348,5.14,1.28,0.2736661812,2.7368329E-01,0,0.6668670343
foreigndonor,INR,predictorvalue,1,27931,1.20,1.20,0.273882382,2.7389182E-01,0,0.6668670343
timesincecat,PO2,predictorvalue,3,16557,3.86,1.29,0.276834374,2.7687231E-01,0,0.6684913399
donorparity,EGFR,predictorvalue,2,7812,2.57,1.28,0.2768769364,2.7693538E-01,0,0.6684913399
timesincecat,BILI_K,predictorvalue,3,4821,3.85,1.28,0.2776845579,2.7781458E-01,0,0.6684913399
meandonationtime,TROP_I,predspline,2,576,2.54,1.27,0.2815318332,2.8231588E-01,0,0.6717550012
numdoncat,BILI,predictorv,4,22361,5.05,1.26,0.2823307184,2.8236552E-01,0,0.6717550012
numdoncat,INR,predictorv,4,27928,5.05,1.26,0.2825955915,2.8262344E-01,0,0.6717550012
meanweekday,MONO,predictorv,5,1924,6.24,1.25,0.2840020492,2.8448178E-01,0,0.6717550012
foreigndonor,ALP,predictorvalue,1,6675,1.15,1.15,0.2845847746,2.8462347E-01,0,0.6717550012
idbloodgroupcat,ALB,predictorvalue,1,23054,1.13,1.13,0.2878674301,2.8787856E-01,0,0.6726195965
meandonationtime,PH,predspline,2,20367,2.49,1.25,0.2879262758,2.8794819E-01,0,0.6726195965
meandonorsex,CO2,predictorvalue,1,1072,1.13,1.13,0.2880262582,2.8826554E-01,0,0.6726195965
timesincecat,ALP,predictorvalue,3,6673,3.74,1.25,0.2906179026,2.9070925E-01,0,0.6756950095
meandonorage,PH,predspline,2,20403,2.46,1.23,0.2917556927,2.9177739E-01,0,0.6756950095
timesincecat,EGFR,predictorv,3,7815,3.69,1.23,0.2966332702,2.9671022E-01,0,0.6840809722
meandonorage,BASOF,predspline,2,1933,2.42,1.21,0.297555587,2.9778166E-01,0,0.6840809722
idbloodgroupcat,LYMF,predictorvalue,1,1919,1.08,1.08,0.29911338,2.9924419E-01,0,0.6840809722
foreigndonor,ALAT,predictorvalue,1,16885,1.07,1.07,0.2998258383,2.9984069E-01,0,0.6840809722
meanstoragetime,ASAT,predspline,2,15252,2.38,1.19,0.3041749978,3.0420325E-01,0,0.6880989009
meandonationtime,CRP,predspline,2,47498,2.38,1.19,0.3043580723,3.0436714E-01,0,0.6880989009
meandonorage,HBA1C,predspline,2,180,2.39,1.19,0.3027931761,3.0518253E-01,0,0.6880989009
foreigndonor,BASOF,predictorv,1,1934,1.04,1.04,0.3075841982,3.0771181E-01,0,0.6880989009
foreigndonor,KREA,predictorv,1,50355,1.04,1.04,0.3084499659,3.0845486E-01,0,0.6880989009
meandonorhb,PO2,predspline,2,16384,2.34,1.17,0.3104615652,3.1048749E-01,0,0.6880989009
meanweekday,APTT,predictorv,5,22109,5.93,1.19,0.3128477469,3.1288667E-01,0,0.6880989009
meanweekday,STDBIK,predictorvalue,5,20292,5.92,1.18,0.3137379773,3.1378029E-01,0,0.6880989009
meandonorage,BE,predspline,2,20166,2.31,1.15,0.315252767,3.1527360E-01,0,0.6880989009
numdoncat,BASOF,predictorv,4,1931,4.73,1.18,0.3157589449,3.1613036E-01,0,0.6880989009
meandonorsex,PH,predictorvalue,1,20405,1.00,1.00,0.3164518691,3.1646375E-01,0,0.6880989009
meandonationtime,APTT,predspline,2,22027,2.30,1.15,0.3173958738,3.1741485E-01,0,0.6880989009
meandonorhb,LYMF,predspline,2,1899,2.29,1.15,0.3177475524,3.1796739E-01,0,0.6880989009
meanweekday,EOSINO,predictorv,5,1913,5.88,1.18,0.317817147,3.1826047E-01,0,0.6880989009
numdoncat,PH,predictorvalue,4,20412,4.71,1.18,0.3187366291,3.1877153E-01,0,0.6880989009
meandonorage,STDBIK,predspline,2,20290,2.28,1.14,0.3194539881,3.1947449E-01,0,0.6880989009
foreigndonor,GT,predictorvalue,1,7737,0.98,0.98,0.3224487437,3.2247969E-01,0,0.6891512061
idbloodgroupcat,MCH,predictorvalue,1,36876,0.97,0.97,0.324252383,3.2425885E-01,0,0.6891512061
meandonorsex,OSMO,predictorv,1,6497,0.97,0.97,0.3243733197,3.2441002E-01,0,0.6891512061
numdoncat,CO2,predictorvalue,4,1070,4.66,1.17,0.3237824433,3.2443807E-01,0,0.6891512061
donorparity,APTT,predictorvalue,2,22102,2.24,1.12,0.3270812958,3.2709978E-01,0,0.6908475901
meandonationtime,METHB,predspline,2,15554,2.23,1.11,0.3284810126,3.2850719E-01,0,0.6908475901
foreigndonor,RET,predictorvalue,1,498,0.96,0.96,0.3281264134,3.2860121E-01,0,0.6908475901
meanstoragetime,META,predspline,2,375,2.21,1.10,0.3319468361,3.3302087E-01,0,0.6953356043
meandonorage,CRP,predspline,2,47656,2.19,1.10,0.3343202953,3.3432872E-01,0,0.6953356043
meanweekday,PH,predictorvalue,5,20406,5.72,1.14,0.3343321573,3.3437188E-01,0,0.6953356043
meandonorsex,TPK,predictorv,1,54107,0.92,0.92,0.3362652418,3.3626954E-01,0,0.6953356043
numdoncat,EGFR,predictorv,4,7814,4.55,1.14,0.3362930078,3.3637989E-01,0,0.6953356043
meandonorsex,LPK,predictorv,1,56327,0.92,0.92,0.3379160373,3.3792015E-01,0,0.6961833199
numdoncat,MYELO,predictorv,4,353,4.51,1.13,0.34110347,3.4298954E-01,0,0.7042718539
meandonorhb,STDBIK,predspline,2,20084,2.11,1.06,0.3481554698,3.4817477E-01,0,0.7115179614
idbloodgroupcat,BE,predictorv,1,20154,0.88,0.88,0.3488173846,3.4882861E-01,0,0.7115179614
donorparity,HAPTO,predictorvalue,2,370,2.10,1.05,0.3500140968,3.5105423E-01,0,0.7136944003
meandonationtime,ALB,predspline,2,22987,2.05,1.03,0.3579036888,3.5792013E-01,0,0.7230978591
meandonorage,CA,predspline,2,12733,2.05,1.03,0.3582841866,3.5831383E-01,0,0.7230978591
meandonorsex,PO2,predictorvalue,1,16551,0.84,0.84,0.3591878493,3.5920121E-01,0,0.7230978591
numdoncat,LYMF,predictorvalue,4,1918,4.34,1.08,0.3622004375,3.6252779E-01,0,0.7257148621
meandonationtime,TRANSF,predspline,2,51,2.07,1.03,0.3560136967,3.6333881E-01,0,0.7257148621
timesincecat,CRP,predictorvalue,3,47681,3.18,1.06,0.3641923331,3.6420289E-01,0,0.7257148621
numdoncat,ALB,predictorvalue,4,23090,4.30,1.07,0.3669491173,3.6697593E-01,0,0.7257148621
meandonationtime,HB,predspline,2,91138,2.00,1.00,0.3672026134,3.6720666E-01,0,0.7257148621
meanstoragetime,NTPROBNP,predspline,2,817,2.00,1.00,0.3671191138,3.6756987E-01,0,0.7257148621
meandonorage,HAPTO,predspline,2,370,1.97,0.98,0.3737513055,3.7472752E-01,0,0.7374829192
meandonationtime,NTPROBNP,predspline,2,814,1.95,0.98,0.3764175748,3.7685858E-01,0,0.7385788202
meanweekday,PO2,predictorvalue,5,16550,5.32,1.06,0.377639731,3.7768235E-01,0,0.7385788202
foreigndonor,COHB,predictorvalue,1,14196,0.76,0.76,0.3822952059,3.8230998E-01,0,0.7428274752
meandonationtime,CA_F,predspline,2,20318,1.92,0.96,0.3826967983,3.8271417E-01,0,0.7428274752
meanweekday,CO2,predictorvalue,5,1069,5.27,1.05,0.383979435,3.8462307E-01,0,0.7428274752
meandonorage,NEUTRO,predspline,2,10903,1.91,0.95,0.3855232062,3.8555533E-01,0,0.7428274752
donorparity,PO2,predictorvalue,2,16550,1.90,0.95,0.3858632612,3.8588440E-01,0,0.7428274752
meandonationtime,TRI,predspline,2,2542,1.88,0.94,0.3903060018,3.9044187E-01,0,0.7431260531
timesincecat,BASOF,predictorv,3,1932,3.00,1.00,0.3914000929,3.9163950E-01,0,0.7431260531
meanstoragetime,HAPTO,predspline,2,368,1.88,0.94,0.3910275,3.9196229E-01,0,0.7431260531
foreigndonor,MYELO,predictorv,1,356,0.73,0.73,0.3916340869,3.9221035E-01,0,0.7431260531
meandonorsex,HAPTO,predictorvalue,1,371,0.73,0.73,0.3927816097,3.9333310E-01,0,0.7431260531
meandonorage,INR,predspline,2,27909,1.86,0.93,0.3939464324,3.9395868E-01,0,0.7431260531
meandonationtime,ASAT,predspline,2,15215,1.86,0.93,0.394461689,3.9448412E-01,0,0.7431260531
idbloodgroupcat,CRP,predictorvalue,1,47621,0.71,0.71,0.3990182081,3.9902244E-01,0,0.7493836148
meandonorage,TRANSF,predspline,2,51,1.86,0.93,0.394188607,4.0078276E-01,0,0.7504017633
meandonorsex,LYMF,predictorvalue,1,1921,0.68,0.68,0.4079163886,4.0801918E-01,0,0.7616358018
numdoncat,PO2,predictorvalue,4,16556,3.96,0.99,0.4112452667,4.1127733E-01,0,0.7646317349
meandonorage,TPK,predspline,2,54106,1.77,0.89,0.4126119538,4.1261793E-01,0,0.7646317349
meandonationtime,LD,predspline,2,6666,1.77,0.88,0.4132995999,4.1334800E-01,0,0.7646317349
timesincecat,COHB,predictorvalue,3,14194,2.84,0.95,0.4163628972,4.1639287E-01,0,0.7679581089
donorparity,KREA,predictorv,2,50331,1.74,0.87,0.4188738145,4.1888012E-01,0,0.7689133392
meanstoragetime,LAKTAT,predspline,2,18855,1.74,0.87,0.4193904814,4.1940728E-01,0,0.7689133392
meandonorhb,FERRITIN,predspline,2,2553,1.72,0.86,0.4225404499,4.2266324E-01,0,0.772583253
meanweekday,SR,predictorvalue,5,81,4.99,1.00,0.4172292875,4.2449232E-01,0,0.7736309722
foreigndonor,LYMF,predictorvalue,1,1921,0.63,0.63,0.4273327502,4.2743079E-01,0,0.7746577786
meanweekday,CRP,predictorvalue,5,47666,4.91,0.98,0.4275586631,4.2757085E-01,0,0.7746577786
meandonorsex,MCH,predictorvalue,1,36907,0.62,0.62,0.4324954319,4.3250047E-01,0,0.781291172
donorparity,BASOF,predictorv,2,1933,1.65,0.82,0.4383807025,4.3853487E-01,0,0.7898756813
timesincecat,STDBIK,predictorvalue,3,20299,2.70,0.90,0.4400401308,4.4005936E-01,0,0.790310681
numdoncat,MONO,predictorv,4,1925,3.74,0.94,0.4421250404,4.4236860E-01,0,0.7910360787
timesincecat,BE,predictorvalue,3,20176,2.67,0.89,0.4454709115,4.4548986E-01,0,0.7910360787
meandonationtime,MCH,predspline,2,36788,1.61,0.81,0.4464134191,4.4642131E-01,0,0.7910360787
meandonationtime,CA,predspline,2,12688,1.61,0.81,0.4470514388,4.4707427E-01,0,0.7910360787
numdoncat,RET,predictorvalue,4,495,3.71,0.93,0.4472318528,4.4815600E-01,0,0.7910360787
donorparity,GLUKOS,predictorvalue,2,44583,1.61,0.80,0.4481616927,4.4816817E-01,0,0.7910360787
donorparity,META,predictorvalue,2,376,1.56,0.78,0.4580438103,4.5878502E-01,0,0.8005122323
numdoncat,BE,predictorvalue,4,20175,3.62,0.91,0.4591357406,4.5915734E-01,0,0.8005122323
timesincecat,FERRITIN,predictorvalue,3,2563,2.59,0.86,0.4591662939,4.5930754E-01,0,0.8005122323
meandonorsex,METHB,predictorvalue,1,15590,0.55,0.55,0.4598289731,4.5984010E-01,0,0.8005122323
meandonorsex,COHB,predictorvalue,1,14190,0.54,0.54,0.4611751356,4.6118732E-01,0,0.8005122323
meandonationtime,CO2,predspline,2,1070,1.55,0.77,0.4610760591,4.6133416E-01,0,0.8005122323
foreigndonor,CO2,predictorvalue,1,1073,0.53,0.53,0.4669385504,4.6709725E-01,0,0.8082356852
meandonorhb,PH,predspline,2,20191,1.50,0.75,0.4715211226,4.7153432E-01,0,0.8083408514
meandonorhb,GT,predspline,2,7673,1.50,0.75,0.4715279906,4.7156272E-01,0,0.8083408514
timesincecat,TPK,predictorv,3,54135,2.52,0.84,0.47164622,4.7165258E-01,0,0.8083408514
meandonorage,FE,predspline,2,1404,1.50,0.75,0.4722177392,4.7240699E-01,0,0.8083408514
meanweekday,CA_F,predictorvalue,5,20357,4.51,0.90,0.4789032223,4.7892552E-01,0,0.817224709
timesincecat,PCO2,predictorvalue,3,16461,2.47,0.82,0.480259629,4.8027978E-01,0,0.8172716697
meanweekday,HBA1C,predictorvalue,5,177,4.50,0.90,0.4798499928,4.8236907E-01,0,0.8185657025
meandonorsex,TRANSF,predictorv,1,52,0.49,0.49,0.4817954522,4.8493322E-01,0,0.8200519474
meanstoragetime,MYELO,predspline,2,354,1.45,0.72,0.485407689,4.8612258E-01,0,0.8200519474
meandonorage,EGFR,predspline,2,7812,1.43,0.72,0.4882141626,4.8824629E-01,0,0.8200519474
meandonorage,PO2,predspline,2,16550,1.43,0.71,0.490255299,4.9027035E-01,0,0.8200519474
meandonorsex,BE,predictorvalue,1,20168,0.47,0.47,0.4910113805,4.9101930E-01,0,0.8200519474
meanstoragetime,LD,predspline,2,6676,1.42,0.71,0.4922668365,4.9230387E-01,0,0.8200519474
idbloodgroupcat,LD,predictorvalue,1,6678,0.47,0.47,0.4934798504,4.9350362E-01,0,0.8200519474
timesincecat,CA,predictorvalue,3,12737,2.39,0.80,0.4959716884,4.9599598E-01,0,0.8200519474
meandonorage,MCHC,predspline,2,23925,1.40,0.70,0.4966345711,4.9664474E-01,0,0.8200519474
donorparity,PH,predictorvalue,2,20404,1.39,0.70,0.4978457853,4.9785765E-01,0,0.8200519474
meandonorage,META,predspline,2,376,1.39,0.69,0.4994576844,5.0009673E-01,0,0.8200519474
idbloodgroupcat,ASAT,predictorv,1,15258,0.45,0.45,0.5018200363,5.0183020E-01,0,0.8200519474
numdoncat,ASAT,predictorv,4,15281,3.33,0.83,0.5045513687,5.0457415E-01,0,0.8200519474
meandonorhb,OSMO,predspline,2,6416,1.37,0.68,0.5045702765,5.0460707E-01,0,0.8200519474
meandonationtime,TROP_T,predspline,2,4338,1.37,0.68,0.5050435401,5.0509786E-01,0,0.8200519474
meanweekday,LYMF,predictorvalue,5,1917,4.31,0.86,0.5056539551,5.0585688E-01,0,0.8200519474
foreigndonor,MONO,predictorvalue,1,1928,0.44,0.44,0.5057966107,5.0587620E-01,0,0.8200519474
donorparity,NEUTRO,predictorv,2,10903,1.34,0.67,0.5115568306,5.1157791E-01,0,0.8271180905
meandonorhb,CRP,predspline,2,47250,1.33,0.66,0.515316162,5.1532096E-01,0,0.8306312415
meandonorage,TROP_I,predspline,2,578,1.32,0.66,0.5160573871,5.1644767E-01,0,0.8306312415
meandonationtime,ERYTRO,predspline,2,36476,1.30,0.65,0.5219275047,5.2193355E-01,0,0.8346816785
numdoncat,LAKTAT,predictorvalue,4,18878,3.22,0.80,0.5219390737,5.2195579E-01,0,0.8346816785
foreigndonor,HB,predictorvalue,1,91459,0.41,0.41,0.5240936032,5.2409520E-01,0,0.8346816785
meandonorage,LD,predspline,2,6691,1.28,0.64,0.5263460412,5.2637844E-01,0,0.8346816785
meandonorage,NTPROBNP,predspline,2,819,1.27,0.64,0.5291856364,5.2944713E-01,0,0.8346816785
meanweekday,KREA,predictorv,5,50338,4.14,0.83,0.5297632862,5.2976990E-01,0,0.8346816785
foreigndonor,FERRITIN,predictorv,1,2565,0.39,0.39,0.5302234158,5.3027929E-01,0,0.8346816785
donorparity,ALB,predictorvalue,2,23080,1.26,0.63,0.5314063641,5.3141557E-01,0,0.8346816785
meandonationtime,LAKTAT,predspline,2,18837,1.26,0.63,0.5327415717,5.3275279E-01,0,0.8346816785
foreigndonor,PO2,predictorvalue,1,16559,0.39,0.39,0.5332462908,5.3325487E-01,0,0.8346816785
timesincecat,ALAT,predictorvalue,3,16883,2.16,0.72,0.5388996565,5.3891451E-01,0,0.8346816785
meandonorsex,GLUKOS,predictorvalue,1,44584,0.38,0.38,0.5392523191,5.3925545E-01,0,0.8346816785
meandonorage,SR,predspline,2,84,1.24,0.62,0.5376461079,5.4009242E-01,0,0.8346816785
idbloodgroupcat,RET,predictorvalue,1,498,0.37,0.37,0.5405718225,5.4085110E-01,0,0.8346816785
meandonorhb,HAPTO,predspline,2,367,1.23,0.62,0.5405697501,5.4112614E-01,0,0.8346816785
meandonorage,LPK,predspline,2,56326,1.22,0.61,0.5434558544,5.4345944E-01,0,0.8346816785
foreigndonor,NTPROBNP,predictorvalue,1,820,0.37,0.37,0.5438985787,5.4406658E-01,0,0.8346816785
meandonorsex,GT,predictorvalue,1,7734,0.37,0.37,0.5441482902,5.4416609E-01,0,0.8346816785
foreigndonor,MCHC,predictorvalue,1,23939,0.36,0.36,0.5491913153,5.4919698E-01,0,0.8346816785
numdoncat,EOSINO,predictorv,4,1914,3.05,0.76,0.5495500431,5.4968871E-01,0,0.8346816785
idbloodgroupcat,NTPROBNP,predictorvalue,1,819,0.36,0.36,0.5497812253,5.4994657E-01,0,0.8346816785
foreigndonor,TROP_I,predictorv,1,579,0.36,0.36,0.5498138591,5.5004770E-01,0,0.8346816785
donorparity,CO2,predictorvalue,2,1071,1.20,0.60,0.55004678,5.5023018E-01,0,0.8346816785
meandonorhb,CA_F,predspline,2,20136,1.19,0.60,0.5514764083,5.5148611E-01,0,0.8346816785
meandonorhb,ALP,predspline,2,6623,1.18,0.59,0.5537817777,5.5381098E-01,0,0.8361459872
meandonorage,GT,predspline,2,7733,1.17,0.59,0.5559885845,5.5601336E-01,0,0.8367171241
numdoncat,FERRITIN,predictorvalue,4,2562,3.01,0.75,0.5568072565,5.5690588E-01,0,0.8367171241
meandonorsex,TROP_T,predictorv,1,4354,0.34,0.34,0.5618036287,5.6183365E-01,0,0.8420669796
meanweekday,K,predictorv,5,46806,3.88,0.78,0.5667277825,5.6673311E-01,0,0.8473485388
donorparity,BE,predictorv,2,20167,1.13,0.56,0.5693952269,5.6940418E-01,0,0.848381873
meanstoragetime,HBA1C,predspline,2,179,1.13,0.56,0.5693290505,5.7033494E-01,0,0.848381873
meandonorage,KREA,predspline,2,50331,1.12,0.56,0.5715524161,5.7155597E-01,0,0.848381873
idbloodgroupcat,MONO,predictorvalue,1,1926,0.31,0.31,0.5769910286,5.7705585E-01,0,0.8544865515
numdoncat,META,predictorvalue,4,374,2.88,0.72,0.5779025833,5.7847958E-01,0,0.8545405843
numdoncat,GT,predictorvalue,4,7734,2.82,0.71,0.5880211714,5.8804698E-01,0,0.8632737519
numdoncat,CRP,predictorvalue,4,47680,2.81,0.70,0.5896228041,5.8962693E-01,0,0.8632737519
meandonorage,METHB,predspline,2,15588,1.06,0.53,0.5900249978,5.9003553E-01,0,0.8632737519
numdoncat,PCO2,predictorvalue,4,16460,2.80,0.70,0.5913738957,5.9138569E-01,0,0.8632737519
meandonorhb,MONO,predspline,2,1906,1.04,0.52,0.594151477,5.9423594E-01,0,0.8632737519
meandonorsex,NA,predictorv,1,46329,0.28,0.28,0.5979157286,5.9791825E-01,0,0.8632737519
numdoncat,TROP_T,predictorv,4,4352,2.76,0.69,0.5994601373,5.9950170E-01,0,0.8632737519
meandonationtime,KREA,predspline,2,50165,1.02,0.51,0.5995376822,5.9954081E-01,0,0.8632737519
timesincecat,ASAT,predictorv,3,15282,1.87,0.62,0.5998022875,5.9981369E-01,0,0.8632737519
meandonorage,APTT,predspline,2,22102,1.02,0.51,0.6009651467,6.0097220E-01,0,0.8632737519
numdoncat,ALAT,predictorvalue,4,16882,2.74,0.69,0.6015627831,6.0157330E-01,0,0.8632737519
donorparity,LD,predictorvalue,2,6691,1.02,0.51,0.6019296016,6.0195278E-01,0,0.8632737519
idbloodgroupcat,GLUKOS,predictorvalue,1,44552,0.27,0.27,0.6040823481,6.0408492E-01,0,0.8632737519
meandonorage,MYELO,predspline,2,355,1.00,0.50,0.605110425,6.0553991E-01,0,0.8632737519
foreigndonor,PCO2,predictorvalue,1,16463,0.26,0.26,0.6083384751,6.0834535E-01,0,0.8632737519
foreigndonor,META,predictorvalue,1,377,0.26,0.26,0.6094347449,6.0973378E-01,0,0.8632737519
foreigndonor,K,predictorv,1,46825,0.26,0.26,0.612359124,6.1236151E-01,0,0.8632737519
meanweekday,ALB,predictorvalue,5,23081,3.57,0.71,0.6124504198,6.1245709E-01,0,0.8632737519
donorparity,LPK,predictorv,2,56326,0.98,0.49,0.6129216457,6.1292425E-01,0,0.8632737519
meandonorsex,BASOF,predictorv,1,1934,0.25,0.25,0.6150386219,6.1509588E-01,0,0.8632737519
numdoncat,SR,predictorvalue,4,82,2.67,0.67,0.6136818514,6.1559217E-01,0,0.8632737519
foreigndonor,CA_F,predictorvalue,1,20366,0.25,0.25,0.6168914548,6.1689686E-01,0,0.8632737519
meandonorsex,ALP,predictorvalue,1,6673,0.25,0.25,0.6181100932,6.1812652E-01,0,0.8632737519
meandonorage,TROP_T,predspline,2,4353,0.96,0.48,0.6187368389,6.1876959E-01,0,0.8632737519
meanweekday,HAPTO,predictorvalue,5,367,3.53,0.71,0.6190438309,6.1942695E-01,0,0.8632737519
meandonationtime,CL,predspline,2,21017,0.95,0.48,0.621258504,6.2126520E-01,0,0.8638811833
numdoncat,TRANSF,predictorv,3,50,1.77,0.59,0.6221906846,6.2511677E-01,0,0.8672791156
meanweekday,LD,predictorv,5,6685,3.48,0.70,0.626707354,6.2672620E-01,0,0.8675580656
foreigndonor,NEUTRO,predictorv,1,10909,0.23,0.23,0.6341797601,6.3418929E-01,0,0.8759206321
meanweekday,TROP_T,predictorv,5,4349,3.41,0.68,0.6362928902,6.3631768E-01,0,0.8768941634
numdoncat,METHB,predictorvalue,4,15594,2.53,0.63,0.6386789441,6.3868667E-01,0,0.8781941774
idbloodgroupcat,OSMO,predictorv,1,6493,0.21,0.21,0.6433248273,6.4334035E-01,0,0.882622836
numdoncat,GLUKOS,predictorvalue,4,44604,2.50,0.62,0.6448638446,6.4486635E-01,0,0.8827503763
meanstoragetime,FERRITIN,predspline,2,2559,0.87,0.43,0.6473451014,6.4739293E-01,0,0.8833143148
meandonorhb,TRI,predspline,2,2533,0.86,0.43,0.64964927,6.4969698E-01,0,0.8833143148
meanweekday,TROP_I,predictorv,5,575,3.32,0.66,0.6507250118,6.5086666E-01,0,0.8833143148
meandonorhb,NA,predspline,2,45864,0.86,0.43,0.6510115065,6.5101412E-01,0,0.8833143148
numdoncat,TROP_I,predictorv,4,576,2.45,0.61,0.6531088347,6.5328216E-01,0,0.8842534251
meanweekday,META,predictorvalue,5,373,3.29,0.66,0.6551496938,6.5534717E-01,0,0.8842534251
meandonorage,NA,predspline,2,46327,0.84,0.42,0.6560101704,6.5601269E-01,0,0.8842534251
idbloodgroupcat,METHB,predictorvalue,1,15582,0.19,0.19,0.66274857,6.6275461E-01,0,0.8855457391
foreigndonor,GLUKOS,predictorvalue,1,44607,0.19,0.19,0.6633539086,6.6335601E-01,0,0.8855457391
donorparity,HBA1C,predictorvalue,2,180,0.82,0.41,0.6629416525,6.6356240E-01,0,0.8855457391
meandonorsex,EOSINO,predictorv,1,1917,0.19,0.19,0.6651799585,6.6522864E-01,0,0.8855457391
donorparity,EOSINO,predictorv,2,1916,0.80,0.40,0.6688110527,6.6886752E-01,0,0.8855457391
timesincecat,TROP_T,predictorv,3,4353,1.56,0.52,0.6689687402,6.6899155E-01,0,0.8855457391
numdoncat,APTT,predictorv,4,22116,2.36,0.59,0.6693811188,6.6938463E-01,0,0.8855457391
meandonationtime,SR,predspline,2,84,0.80,0.40,0.6690063344,6.7028623E-01,0,0.8855457391
meanstoragetime,RET,predspline,2,497,0.80,0.40,0.6705310677,6.7074640E-01,0,0.8855457391
donorparity,FE,predictorvalue,2,1404,0.79,0.40,0.6722046907,6.7228020E-01,0,0.8855457391
meanstoragetime,CRP,predspline,2,47584,0.78,0.39,0.6760352778,6.7603746E-01,0,0.8855457391
meanstoragetime,FIB,predspline,2,13641,0.78,0.39,0.676688713,6.7669628E-01,0,0.8855457391
meanweekday,COHB,predictorvalue,5,14190,3.14,0.63,0.6777579297,6.7776039E-01,0,0.8855457391
idbloodgroupcat,SR,predictorvalue,1,85,0.17,0.17,0.6769808998,6.7803101E-01,0,0.8855457391
idbloodgroupcat,EGFR,predictorvalue,1,7811,0.17,0.17,0.678523665,6.7853505E-01,0,0.8855457391
meanweekday,MCV,predictorvalue,5,36825,3.10,0.62,0.6848738216,6.8487446E-01,0,0.8890929202
meanweekday,OSMO,predictorvalue,5,6491,3.09,0.62,0.686030704,6.8603403E-01,0,0.8890929202
meandonorage,BILI,predspline,2,22353,0.75,0.38,0.6871822908,6.8718662E-01,0,0.8890929202
donorparity,FIB,predictorvalue,2,13660,0.75,0.37,0.6889223018,6.8892930E-01,0,0.8890929202
meandonationtime,ALP,predspline,2,6642,0.75,0.37,0.6889699721,6.8898437E-01,0,0.8890929202
meandonorsex,FIB,predictorvalue,1,13661,0.16,0.16,0.6899067764,6.8991301E-01,0,0.8890929202
meanstoragetime,TRI,predspline,2,2546,0.73,0.36,0.6953748362,6.9541088E-01,0,0.894073606
meanstoragetime,BASOF,predspline,2,1929,0.72,0.36,0.6985053489,6.9855196E-01,0,0.894073606
idbloodgroupcat,FE,predictorvalue,1,1404,0.15,0.15,0.7003554029,7.0041369E-01,0,0.894073606
numdoncat,NTPROBNP,predictorv,4,817,2.18,0.55,0.7024722397,7.0251667E-01,0,0.894073606
meanstoragetime,INR,predspline,2,27880,0.70,0.35,0.7033090893,7.0331221E-01,0,0.894073606
meandonorsex,FE,predictorvalue,1,1405,0.14,0.14,0.7042772321,7.0433459E-01,0,0.894073606
meanstoragetime,STDBIK,predspline,2,20272,0.70,0.35,0.7051560493,7.0516029E-01,0,0.894073606
meandonorhb,LAKTAT,predspline,2,18665,0.70,0.35,0.7053846378,7.0538924E-01,0,0.894073606
numdoncat,HAPTO,predictorvalue,4,368,2.11,0.53,0.7157190457,7.1577712E-01,0,0.8977167804
meanweekday,BE,predictorvalue,5,20169,2.86,0.57,0.721450477,7.2144896E-01,0,0.8977167804
meandonationtime,MCHC,predspline,2,23805,0.65,0.32,0.7234071358,7.2341032E-01,0,0.8977167804
meanweekday,FIB,predictorvalue,5,13661,2.84,0.57,0.7245413116,7.2453876E-01,0,0.8977167804
numdoncat,HBA1C,predictorvalue,4,178,2.04,0.51,0.729131451,7.2917292E-01,0,0.8977167804
meanweekday,FE,predictorv,5,1402,2.81,0.56,0.7292751445,7.2924601E-01,0,0.8977167804
meandonorage,TRI,predspline,2,2550,0.62,0.31,0.7318056718,7.3183365E-01,0,0.8977167804
meanstoragetime,EOSINO,predspline,2,1912,0.62,0.31,0.7329306083,7.3296761E-01,0,0.8977167804
meandonorhb,K,predspline,2,46326,0.62,0.31,0.7333714551,7.3337298E-01,0,0.8977167804
timesincecat,RET,predictorvalue,3,496,1.28,0.43,0.7342401046,7.3432560E-01,0,0.8977167804
meandonationtime,TPK,predspline,2,53940,0.62,0.31,0.7350968029,7.3509809E-01,0,0.8977167804
foreigndonor,TROP_T,predictorv,1,4355,0.11,0.11,0.7351217028,7.3513801E-01,0,0.8977167804
meandonorsex,RET,predictorvalue,1,498,0.11,0.11,0.7349984998,7.3514116E-01,0,0.8977167804
meanstoragetime,TRANSF,predspline,2,51,0.62,0.31,0.7338637576,7.3523175E-01,0,0.8977167804
foreigndonor,EGFR,predictorvalue,1,7817,0.11,0.11,0.7353888221,7.3539790E-01,0,0.8977167804
foreigndonor,BILI_K,predictorv,1,4823,0.11,0.11,0.7372930099,7.3730760E-01,0,0.8977167804
foreigndonor,OSMO,predictorv,1,6497,0.11,0.11,0.7375561495,7.3756697E-01,0,0.8977167804
meandonorhb,TRANSF,predspline,2,50,0.60,0.30,0.7391124185,7.4045377E-01,0,0.8977167804
idbloodgroupcat,CA,predictorvalue,1,12719,0.11,0.11,0.741034694,7.4104014E-01,0,0.8977167804
