predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meanstoragetime,CL,predspline,2,21041,11.24,5.62,0.0036276971,3.6331431E-03,0,0.039416066
numdoncat,BILI_K,predictorvalue,4,4820,15.59,3.90,0.0036173811,3.6527184E-03,0,0.039416066
meanweekday,PCO2,predictorvalue,5,16454,17.42,3.48,0.0037623992,3.7745686E-03,0,0.039416066
meandonorhb,CL,predspline,2,20846,11.16,5.58,0.0037696059,3.7752401E-03,0,0.039416066
meanstoragetime,KREA,predspline,2,50248,11.06,5.53,0.0039753131,3.9777308E-03,0,0.0408380366
meanstoragetime,ALB,predspline,2,23051,10.98,5.49,0.0041288716,4.1342716E-03,0,0.0417493657
meandonorsex,MYELO,predictorv,1,356,8.07,8.07,0.0045095172,4.7686893E-03,0,0.0473792361
meanweekday,TPK,predictorv,5,54119,16.02,3.20,0.0067870947,6.7925529E-03,0,0.0664160732
donorparity,CL,predictorvalue,2,21060,9.95,4.97,0.006919733,6.9278623E-03,0,0.0666806745
meanstoragetime,LPK,predspline,2,56237,9.78,4.89,0.0075177264,7.5209239E-03,0,0.0706128131
meandonorsex,BILI,predictorvalue,1,22354,7.13,7.13,0.0075601842,7.5656586E-03,0,0.0706128131
idbloodgroupcat,BILI_K,predictorv,1,4819,6.86,6.86,0.0088116212,8.8392324E-03,0,0.0812681667
donorparity,PCO2,predictorvalue,2,16456,9.43,4.71,0.008974242,8.9863610E-03,0,0.0814058587
timesincecat,LD,predictorv,3,6691,11.52,3.84,0.0092204134,9.2590854E-03,0,0.0826608203
timesincecat,GT,predictorvalue,3,7735,11.42,3.81,0.0096368059,9.6711393E-03,0,0.0851060261
meandonorsex,CA,predictorvalue,1,12734,6.65,6.65,0.0099004902,9.9116001E-03,0,0.0859936009
numdoncat,MCHC,predictorvalue,4,23936,13.19,3.30,0.0103628573,1.0376744E-02,0,0.0887788118
foreigndonor,PH,predictorvalue,1,20415,6.39,6.39,0.0114908864,1.1498370E-02,0,0.0960834349
idbloodgroupcat,MCHC,predictorvalue,1,23900,6.37,6.37,0.0116383607,1.1644794E-02,0,0.0960834349
idbloodgroupcat,PO2,predictorvalue,1,16539,6.34,6.34,0.0117725439,1.1781895E-02,0,0.0960834349
donorparity,K,predictorv,2,46801,8.87,4.43,0.0118587937,1.1863777E-02,0,0.0960834349
timesincecat,MCV,predictorvalue,3,36834,10.95,3.65,0.012002246,1.2010429E-02,0,0.0960834349
idbloodgroupcat,APTT,predictorvalue,1,22085,6.15,6.15,0.0131314662,1.3138862E-02,0,0.1037459627
timesincecat,MCHC,predictorvalue,3,23937,10.73,3.58,0.0132917432,1.3305083E-02,0,0.1037459627
meandonorhb,RET,predspline,2,487,8.68,4.34,0.0130654453,1.3573990E-02,0,0.1045197248
donorparity,MYELO,predictorv,2,355,8.21,4.11,0.0164747673,1.7263582E-02,0,0.1312884717
meandonorhb,HBA1C,predspline,2,179,8.26,4.13,0.0160649028,1.7621903E-02,0,0.1323791735
foreigndonor,CL,predictorvalue,1,21072,5.49,5.49,0.0191734231,1.9182683E-02,0,0.1408311403
foreigndonor,HAPTO,predictorvalue,1,371,5.53,5.53,0.0186821047,1.9204246E-02,0,0.1408311403
meandonorsex,CL,predictorvalue,1,21061,5.40,5.40,0.0201233205,2.0132785E-02,0,0.1442534381
meanstoragetime,K,predspline,2,46740,7.81,3.91,0.0201327086,2.0139279E-02,0,0.1442534381
donorparity,BILI,predictorvalue,2,22353,7.71,3.86,0.0211399103,2.1153978E-02,0,0.1497798891
idbloodgroupcat,STDBIK,predictorvalue,1,20278,5.27,5.27,0.0216792962,2.1689448E-02,0,0.1518261367
idbloodgroupcat,LPK,predictorv,1,56284,5.14,5.14,0.0234424646,2.3446245E-02,0,0.1612830159
meandonorhb,FE,predspline,2,1398,7.52,3.76,0.0233280605,2.3564077E-02,0,0.1612830159
numdoncat,TPK,predictorv,4,54134,11.20,2.80,0.0243624282,2.4372274E-02,0,0.1649815472
meandonorage,BILI_K,predspline,2,4822,7.40,3.70,0.0247513592,2.4821615E-02,0,0.1661969014
numdoncat,MCV,predictorvalue,4,36833,11.00,2.75,0.0265509959,2.6566097E-02,0,0.1759646859
numdoncat,CA,predictorvalue,4,12736,10.95,2.74,0.0271150312,2.7159160E-02,0,0.1776814661
meandonationtime,LPK,predspline,2,56146,7.19,3.60,0.0273958595,2.7402174E-02,0,0.1776814661
meandonationtime,BILI_K,predspline,2,4804,7.17,3.59,0.0277310453,2.7805268E-02,0,0.1784171392
meanstoragetime,TROP_T,predspline,2,4348,7.05,3.53,0.0294024604,2.9486595E-02,0,0.1872550803
meandonorage,K,predspline,2,46800,6.86,3.43,0.03233335,3.2341486E-02,0,0.2023827504
meandonorhb,SR,predspline,2,82,7.15,3.57,0.0280740659,3.2525799E-02,0,0.2023827504
donorparity,CA,predictorvalue,2,12733,6.68,3.34,0.0354909042,3.5521973E-02,0,0.2188153524
idbloodgroupcat,PH,predictorvalue,1,20391,4.28,4.28,0.0384933382,3.8505903E-02,0,0.2348478849
meanstoragetime,PCO2,predspline,2,16439,6.32,3.16,0.0424580174,4.2483797E-02,0,0.254426623
idbloodgroupcat,K,predictorv,1,46765,4.11,4.11,0.0425364576,4.2542114E-02,0,0.254426623
meanweekday,INR,predictorv,5,27918,11.45,2.29,0.0430892161,4.3118334E-02,0,0.2548928451
meandonorage,PCO2,predspline,2,16456,6.27,3.14,0.0434216799,4.3447644E-02,0,0.2548928451
