label,predictor,predictorvalue,predicted,lower,upper,adjusted
PO2,timesincecat,0,-0.829774874,-1.12109982,-0.538449927,1
PO2,timesincecat,120,,,,1
PO2,timesincecat,240,,,,1
PO2,timesincecat,365,-0.924923361,-1.338205397,-0.511641325,1
PO2,timesincecat,999,-0.542657666,-0.973973517,-0.111341815,1
TPK,timesincecat,0,-8.464498988,-10.09486572,-6.834132254,0
TPK,timesincecat,120,,,,0
TPK,timesincecat,240,,,,0
TPK,timesincecat,365,-9.225152522,-11.8016095,-6.648695544,0
TPK,timesincecat,999,-6.609022868,-9.311900379,-3.906145358,0
TPK,timesincecat,0,-8.165754029,-9.909414841,-6.422093217,1
TPK,timesincecat,120,,,,1
TPK,timesincecat,240,,,,1
TPK,timesincecat,365,-8.624381276,-11.31224514,-5.936517408,1
TPK,timesincecat,999,-6.522442061,-9.34528739,-3.699596732,1
TROP_T,timesincecat,0,8.7452188762,1.7709364918,15.719501261,0
TROP_T,timesincecat,120,,,,0
TROP_T,timesincecat,240,,,,0
TROP_T,timesincecat,365,10.435128661,-0.945782114,21.816039437,0
TROP_T,timesincecat,999,3.86990513,-8.152393111,15.892203371,0
TROP_T,timesincecat,0,8.3650938769,0.8560286053,15.874159149,1
TROP_T,timesincecat,120,,,,1
TROP_T,timesincecat,240,,,,1
TROP_T,timesincecat,365,9.7195631061,-2.093494246,21.532620458,1
TROP_T,timesincecat,999,3.0771242614,-9.567080667,15.72132919,1
ALAT,donorparity,0,0.3215584514,-0.068162057,0.7112789594,0
ALAT,donorparity,1,0.5186073732,-0.002994367,1.0402091139,0
ALAT,donorparity,2,0.0482780002,-0.392647333,0.4892033328,0
ALAT,donorparity,0,0.359415377,-0.072884508,0.7917152618,1
ALAT,donorparity,1,0.6190922469,0.0242222462,1.2139622476,1
ALAT,donorparity,2,0.1419601529,-0.377174883,0.6610951892,1
ASAT,donorparity,0,0.4823092555,-0.548904175,1.5135226859,0
ASAT,donorparity,1,1.2972990866,-0.075830768,2.670428941,0
ASAT,donorparity,2,0.3477811838,-0.818255052,1.5138174198,0
ASAT,donorparity,0,0.499818735,-0.637026849,1.636664319,1
ASAT,donorparity,1,1.2506180275,-0.317010601,2.8182466565,1
ASAT,donorparity,2,0.3008447651,-1.070210904,1.6719004336,1
BILI_K,donorparity,0,1.9202704841,-1.872857666,5.7133986345,0
BILI_K,donorparity,1,-3.058066173,-7.967607239,1.8514748924,0
BILI_K,donorparity,2,1.2135257152,-3.024790394,5.4518418244,0
BILI_K,donorparity,0,1.2877272192,-2.909144347,5.4845987856,1
BILI_K,donorparity,1,-1.406323362,-6.920903177,4.1082564534,1
BILI_K,donorparity,2,2.6113065203,-2.198717183,7.4213302239,1
CO2,donorparity,0,0.1661711168,-0.527216525,0.8595587589,0
CO2,donorparity,1,0.1440970475,-0.802864291,1.0910583862,0
CO2,donorparity,2,-0.111958491,-0.918853978,0.6949369952,0
CO2,donorparity,0,0.5391333078,-0.217665502,1.2959321174,1
CO2,donorparity,1,-0.225280279,-1.229136222,0.7785756635,1
CO2,donorparity,2,-0.425017759,-1.285211957,0.4351764393,1
EOSINO,donorparity,0,0.0054504203,-0.052337963,0.0632388032,0
EOSINO,donorparity,1,-0.022232136,-0.109178909,0.0647146374,0
EOSINO,donorparity,2,-0.024480149,-0.094606834,0.0456465365,0
EOSINO,donorparity,0,0.0069898973,-0.058173049,0.0721528442,1
EOSINO,donorparity,1,0.0103331597,-0.085087165,0.105753484,1
EOSINO,donorparity,2,0.0071533127,-0.072590586,0.0868972115,1
FERRITIN,donorparity,0,19.730061539,-40.96266191,80.422784991,0
FERRITIN,donorparity,1,11.72708761,-71.27246602,94.726641241,0
FERRITIN,donorparity,2,-5.41221862,-75.11291449,64.288477247,0
FERRITIN,donorparity,0,1.7549996258,-64.47877675,67.988776006,1
FERRITIN,donorparity,1,33.50013474,-54.47936679,121.47963627,1
FERRITIN,donorparity,2,18.234558701,-58.26156626,94.730683666,1
HAPTO,donorparity,0,0.03441411,-0.059226546,0.1280547656,0
HAPTO,donorparity,1,-0.011270125,-0.137023412,0.1144831617,0
HAPTO,donorparity,2,-0.004601657,-0.112578134,0.1033748198,0
HAPTO,donorparity,0,0.0894539771,-0.014095372,0.193003326,1
HAPTO,donorparity,1,0.0266795767,-0.103508097,0.1568672504,1
HAPTO,donorparity,2,0.0248813863,-0.091714943,0.1414777161,1
K,donorparity,0,0.0074626324,-0.005802092,0.020727357,0
K,donorparity,1,0.0127546394,-0.004196964,0.0297062432,0
K,donorparity,2,0.0182922865,0.0036601634,0.0329244095,0
K,donorparity,0,0.0094122501,-0.004788666,0.023613166,1
K,donorparity,1,0.011947554,-0.00689132,0.0307864281,1
K,donorparity,2,0.0181776725,0.0019293512,0.0344259938,1
LPK,donorparity,0,-0.111686316,-0.283031431,0.0596587983,0
LPK,donorparity,1,-0.310593368,-0.547952166,-0.07323457,0
LPK,donorparity,2,-0.15359016,-0.349817982,0.0426376616,0
LPK,donorparity,0,-0.069300233,-0.263658019,0.1250575539,1
LPK,donorparity,1,-0.314398128,-0.58712741,-0.041668846,1
LPK,donorparity,2,-0.137362529,-0.361835129,0.0871100701,1
MCV,donorparity,0,-0.46207182,-0.606272091,-0.317871549,0
MCV,donorparity,1,-0.469684993,-0.667473136,-0.27189685,0
MCV,donorparity,2,-0.33968997,-0.504243482,-0.175136459,0
MCV,donorparity,0,-0.418527061,-0.581233995,-0.255820126,1
MCV,donorparity,1,-0.559651333,-0.788206546,-0.33109612,1
MCV,donorparity,2,-0.405606931,-0.594044347,-0.217169515,1
OSMO,donorparity,0,0.0340047443,-0.216665618,0.2846751068,0
OSMO,donorparity,1,0.3014799362,-0.006267894,0.6092277662,0
OSMO,donorparity,2,0.0518329134,-0.222335078,0.3260009047,0
OSMO,donorparity,0,0.0549303888,-0.211879729,0.3217405062,1
OSMO,donorparity,1,0.3478717369,0.0070501618,0.6886933119,1
